broad,"넓은, 일반적인, 개괄적인, 광대한, 악센트가 강한"
doctor,"의사, 박사, 조작하다, 유독 물질을 섞다"
dog,"개, 수컷, 괴롭히다, 바싹 따라가다"
iron,"철, 쇠, 철분, 다리미, 다리미질을 하다, 무쇠같은"
absence,"결석, 결근, 부재, 없음, 결핍"
dry,"마른, 건조한, 비가 오지 않는, 메마른, 재미없는, 마르다"
silence,"고요, 적막, 정적, 침묵, 침묵시키다"
philosophy,"철학, 생각, 이념, 이론"
reaction,"반응, 반작용, 반발, 반동, 반력"
output,"생산량, 산출량, 출력, 전력의 양, 출력 위치"
baby,"아기, 새끼, 어린, 작은, 아기처럼 다루다"
danger,"위험, 위험한 사람, 위협"
commercial,"상업의, 이윤을 낳는, 영리 위주의, 상업적인, 광고(방송)"
machine,"기계, 기구, 기계의, 기계로 만들다"
confidence,"신뢰, 자신(감), 확신"
agent,"대리인, 중개상, 에이전트, 중요한 작요을 하는 사람"
grow,"커지다, 자라다, 재배하다, 성장하다"
mode,"방식, 방법, 유형, 기분, 태도, 음계, (수학) 최빈수, 최빈값"
portion,"부분, 1인분, 몫, 나누다"
novel,"소설, 새로운, 신기한"
transfer,"이동하다, 옮기다, 넘겨주다, 환승하다, 이동, 환승, 이적"
bound,"얽매인, ~향하는, 경계, 범위, 튀어오르다, 뛰다, 경계를 이루다"
sit,"앉다, 앉히다, 있다, 맡아보다, 개회하다"
judge,"판사, 심판, 심사위원, 판단하다, 추정하다, 판정하다"
mere,"겨우 ~의, ~에 불과한 단지, ~만의, 단순한, 순전한, 작은 호수"
numerous,"많은, 다수의"
corner,"모서리, 모퉁이, 구석, 외딴곳, 곤경, 가두다, 몰아넣다"
store,"상점, 매장, 백화점, 비축량, 상품, 저장고, 저장하다, 기억하다"
obvious,"분명한, 명백한, 확실한, 너무 뻔한"
principal,"주요한, 주된, 확장, 총장, 원금, 주연배우"
therapy,"치료, 요법"
detail,"세부 사항, 구체적 내용, 자세한 정보, 상세히 알리다"
challenge,"도전, 시험대, 문제, 난제, 이의를 제기하다, 도전하다, 검문하다"
square,"정사각형 모양의, 제곱의, 정사각형, 광장, 제곱"
dinner,"식사, 저녁 식사, 만찬"
fresh,"신선한, 갓 딴, 새로 생긴, 생생한, 새로운, 꽤 쌀쌀한"
chair,"의자, 의장식, 의장, 학과장, 의장을 맡다"
formal,"격식을 차린, 정중한, 공식적인, 정식의, 형식적인"
protect,"보호하다, 지키다, 보장하다"
improve,"개선되다, 나아지다, 개선하다, 향상시키다"
quiet,"조용한, 한산한, 한가한, 하분한, 침착한, 고요, 조용해지다"
warm,"따뜻한, 따스한, 훈훈한, 근접한, 따뜻해지다, 데우다"
sir,"남자에 대한 경칭, 경(卿)"
draw,"그리다, 끌다, 뽑아내다, 비기다, 인출하다, 추첨, 무승부"
willing,"기꺼이 하는, 자발적인, 열렬한, 적극적인"
pure,"순수한, 깨끗한, 완전한, 순전한, 순결한, 순종의"
feature,"특색, 특징, 특성, 이목구비, 특집 기사, 특징을 이루다"
breath,"숨, 입김, 호흡, 기미, 잠깐 동안, 순간"
famous,"유명한, 잘 알려진, 명성이 있는"
hit,"때리다, 치다, 부딪치다, 맞히다, 타격을 주다, 강타, 타격"
immediate,"즉각적인, 당면한, 목전의, 가장 가까운, 직속의, 직접적인"
train,"열차, 우리, 연속, 일련, 교육시키다, 연마하다"
achieve,"달성하다, 성취하다, 해내다, 성공하다"
clinical,"임상의, 임상 치료의, 냉담한, 간소한"
tone,"어조, 말투, 분위기, 음조, 색조, 탄력, 억양"
winter,"겨울, 겨울을 나다"
gender,"성, 성별"
afraid,"두려워하는, 겁내는, 걱정하는, 염려하는"
wonder,"궁금하다, 놀라다, 경탄, 불가사의, 경탄스러운 사람"
perform,"행하다, 공연하다, 돌아가다"
despite,"~에도 불구하고, 자기도 모르게"
notion,"개념, 관념, 생각"
native,"태어난 곳의, 토박이의, 원주민의, 타고난, 토착인, 현지인"
FALSE,"틀린, 사실이 아닌, 인조의, 위조된, 거짓된, 기만적인"
combination,"조합, 결합, 연합, 배합"
prove,"입증하다, 증명하다, 드러나다, (반죽이) 부풀다"
contain,"포함하다, 들어있다, 함유하다, 억누르다, 방지하다"
huge,"막대한, 엄청난, 거대한, 크게 성공한"
hospital,병원
struggle,"투쟁하다 몸부림치다, 겨루다, 투쟁, 몸부림"
unique,"유일무이한, 독특한, 특별한, 고유의, 특유의"
lose,"잃어버리다, 분실하다, 포기해야 하다, 지다, 허비하다"
equipment,"장비, 용품, 기기, 설비, 부품"
occasion,"경우, 기회, 때, 행사, 이유, 원인, 원인이 되다, 야기하다"
background,"배경, 바탕"
slow,"느린, 천천히 움직이는, 지체하는, 활기가 없는"
seat,"자리, 좌석, 걸상, 의석, 의원권, 앉다"
travel,"여행하다, 이동하다, 여행, 출장, 이동"
escape,"달아나다, 탈출하다, 벗어나다, 피하다, 탈출, 누출"
rock,"바위, 암석, 암반, 음악 록, 뒤흔들다, 흔들리다"
sector,"부문, 지구, 부채꼴"
fundamental,"근본적인, 핵심적인, 필수적인, 기본적인"
whereas,"반면에, ~임에 비하여, ~인데도, ~한 사실이 있으므로"
document,"서류, 문서, 기록하다, 서류로 입증하다"
dream,"꿈, 희망, 포부, 몽상, 꿈을 꾸다, 상상하다"
urban,"도시의, 도회지의"
establish,"설립하다, 수립하다, 확고히하다, 규명하다"
core,"속, 중심부, 핵심, 핵심적인, 가장 중요한, 심을 파내다"
station,"역, 정거장, 방송국, 위치, 주둔시키다"
ratio,"비율, 비"
divine,"신성한, 직감적으로 알다, 예측하다, 점치다"
indicate,"내비치다, 시사하다, 명시하다, 가리키다"
wealth,"부, 재산, 부유함, 풍부한 양, 다량"
brief,"짧은, 잠시 동안의, 간단한 옷이 짧은, ~에 대해 보고하다"
heaven,"천국, 천당, 하늘나라, 낙원"
journey,"여행, 여정, 여행하다"
tend,"경향이 있다, 동향을 보이다, 돌보다, 보살피다"
option,"선택, 기기의 옵션, 선택과목, 선택권"
spot,"점, 반점, 얼룩, 곳, 발견하다, 찾다, 알아채다"
bar,"술집, 막대기, 빗장을 지르다, 막다, ~을 제외하고"
mail,"우편, 우편물, 메일을 보내다"
please,"부디, 제발, 정말, 기쁘게 하다, 기분을 맞추다"
permission,"허락, 허가, 승인"
ill,"아픈, 병든, 나쁜, 잘못된, 좋지 않은, 불길한"
intelligence,"지능, 정보, 기밀, 정보 요원들"
conclusion,"결론, 판단, 결말, 체결"
interview,"면접, 시험, 인터뷰, 면담, 면접을 보다, 면담하다"
express,"나타내다, 표현하다, 짜내다, 급송으로 보내다, 신속한"
camp,"야영지, 캠프, 수용소, 막사, 진영, 야영하다, 머물다"
tool,"연장, 도구, 공구, 수단, 꼭두각시, 앞잡이"
neck,"목, 목 부분, 좁고 기다란 것"
cancer,"암, 암적인 요소"
severe,"극심한, 심각한, 가혹한, 엄한, 엄격한"
frame,"틀, 액자, 뼈대, 골격, 틀에 넣다"
cash,"현금, 현찰, 돈, 자금, 수표를 현금으로 바꾸다"
sky,"하늘, 상공, 높이 쳐올리다"
promise,"약속하다, ~일 것 같다, 약속, 가능성, 장래성, 징조"
damage,"손상, 피해, 훼손, 악영향, 손상을 주다, 피해를 입히다"
contemporary,"동시대의, 현대의, 당대의, 동년배"
narrative,"묘사, 서술(기법)"
season,"계절, 철, 양념을 치다"
capable,"~을 할 수 있는, 유능한, 가능한"
attitude,"태도, 자세, 사고방식, 반항적인"
aspect,"측면, 양상, 모습, 관점, 방향"
drink,"음료, 마실 것, 술, 마시다, 술을 마시다"
lie,"거짓말하다, 누워 있다, 눕다, 놓여 있다, 위치해 있다"
forest,"숲, 삼림"
agree,"동의하다, 합의가 되다, 찬성하다, 승인하다, 일치하다"
island,"섬, 도"
ahead,"앞으로, 앞에, 미리, 앞선"
silk,"비단, 실크, 명주실, 견사"
campaign,"운동, 활동, 군사작전, 캠페인을 벌이다"
mission,"임무, 사절단, 포교, 사명, 파견하다"
maximum,"최고의, 최대의, 최고, 최대"
ideal,"이상적인, 가장 알맞은, 완벽한, 이상, 이상적인 것, 이상형"
sentence,"문장, 형벌, 형, 선고, 선고하다"
distinct,"뚜렷한, 분명한, 뚜렷이 다른, 별개의"
component,"구성요소, 부품"
district,"지구, 지역, 구역"
layer,"막, 층, 겹, 층(단계)"
via,"경유하여, 거쳐, 통하여"
medium,"중간의, 중간, 매체(수단), 표현 수단"
apart,"떨어져, 따로, 헤어져, 조각조각, 산산이, 분리된"
assume,"추정하다, 상정하다, 맡다, 띠다"
excellent,"훌륭한, 탁월한, 뛰어난"
sin,"죄, 죄악, 죄를 지음, 잘못, 죄를 짓다"
advance,"진전, 발전, 선금, 증가, 나아가다, 진행시키다, 선불을 주다"
discuss,"상의하다, 논하다"
technical,"과학기술의, 기술적인, 기술의, 전문적인, 구체적인"
display,"전시하다, 진열하다, 보여주다, 표현하다, 전시, 표현"
wave,"파도, 물결, 급증, 파장, 손짓하다, 흔들리다"
wood,"나무, 목재"
narrow,"좁은, 편협한, 엄밀한, 아슬아슬하게 된, 좁아지다, 찌푸려지다"
annual,"매년의, 연래의, 연간의, 한 해의, 연보, 일년생 식물"
maybe,"어쩌면, 아마, 혹시, 글쎄"
limit,"한계, 한도, 제한, 경계, 제한하다"
weak,"약한, 힘이 없는, 희미한, 취약한"
empty,"비어있는, 빈, 공허한, 무의미한, ~이 없는, 비우다, 꺼내다"
sum,"합, 총계, 총합, 전부, 액수, 계산, 산수"
shoulder,"어깨, 어깨살, 갓길, 짊어지다, 어깨로 밀치다"
solid,"단단한, 고체의, 고형의, 견고한, 탄탄한, 믿음직한, 고체"
sweet,"달콤한, 단, 듣기 좋은, 상냥한, 다정한, 단 것"
kill,"죽이다, 목숨을 빼앗다, 끝장내다, 죽이기"
typical,"전형적인, 대표적인, 보통의, 일반적인, 늘 하는식의"
vast,"어마어마한, 방대한, 막대한"
clean,"깨끗한, 맑은, 전과가 없는, 정정당당한, 개운한, 닦다, 청소하다"
examination,"시험, 검사, 조사, 검토, 진찰"
spend,"돈을 쓰다, 시간을 보내다, 들이다, 비용, 경비"
joy,"기쁨, 즐거움, 환희, 행복, 기쁨의 근원"
release,"풀어 주다, 석방하다, 방출하다, 발산하다, 놓아주다, 발표, 개봉"
block,"사각형 덩어리, 구역, 방해, 차단, 막다, 차단하다, 저지하다"
sequence,"연속적인 사건들, 순서, 차례"
concentration,"정신 집중, 집중, 농도"
relief,"안도, 안심, 경감, 완화, 구호품, 재정 지원"
boat,"배, 보트"
guide,"안내(서), 안내인, 지침, 지표, 안내하다, 인도하다, 설명하다"
thin,"얇은, 가는, 마른, 여윈, 묽은, 옅은, 갸날픈, 옅어지다, 줄어들다"
chain,"사슬, 쇠줄, 목걸이, 일련, 띠, 체인, 속박, 묶다"
input,"입력, 투입, 조언, 입력하다"
ice,"얼음, 얼음판, 빙상, 당의를 입히다"
profit,"이익, 수익, 이윤, 이득, 이득을 얻다"
election,"선거, 당선"
metal,금속
song,"노래, 곡, 노래 부르기"
copy,"복사, 복제, 한 부, 원고, 복사하다, 베끼다"
forget,"잊다, 잊어버리다, 체념하다, 망각하다"
secure,"안심하는, 안전한, 확실한, 단단한, 얻어내다, 고정시키다"
join,"연결하다, 합쳐지다, 가입하다, 합류하다, 연결 부위"
recognize,"알아보다, 인정하다, 인식하다, 공인하다, 승인하다"
wine,"포도주, 와인, 술, 포도주색"
imagine,"상상하다, 그리다, 생각하다"
drop,"떨어지다, 눈길을 떨구다, 빼다, 그만두다, 방울, 소량, 하락"
sell,"팔다, 팔리다, 매각하다, 납득시키다"
plane,"비행기, 평평한 면, 차원, 대패, 평면인, 대패질을 하다, 활주하다"
cycle,"자전거, 오토바이, 순환, 회전, 자전거를 타다"
apparent,"분명한, 명백한, ~인 것처럼 보이는"
quick,"빠른, 신속한, 즉각적인, 지체 없는, 빨리, 신속히"
cast,"던지다, 보내다, 배역을 정하다, 출연자들, 거푸집, 던지기"
beside,"옆에, ~에 비해"
inner,"내부의, 안쪽의, 중심부 가까이에, 내밀한, 내면의"
subsequent,"그 다음의, 차후의"
plain,"숨김없는, 있는 그대로의, 분명한, 무늬가 없는, 보통의, 평지"
domain,"영역, 분야, 범위, 소유지"
shift,"옮기다, 이동하다, 바뀌다, 달라지다, 책임을 전가하다, 교대조"
visible,"보이는, 알아볼 수 있는, 가시적인, 뚜렷한"
criminal,"범죄의, 형사상의, 죄악이 되는, 범인, 범죄자"
emphasis,"강조, 역점, 주안점, 강한 어조"
thick,"두꺼운, 두툼한, 굵은, 숱이 많은, 걸쭉한, 빽빽한, 짙은"
band,"밴드, 악단, 무리, 띠, 끈, 띠를 두르다"
customer,"고객, 손님"
beneath,"아래에, 밑에, ~보다 못한"
silver,"은, 은화, 은식기류, 은색, 은으로 도금하다"
kitchen,"부엌, 주방"
estate,"사유지, 단지, 소유권, 재산"
dress,"드레스, 원피스, 옷, 옷을 입다, 정장을 입다, 치료하다, 다듬다"
surprise,"뜻밖의, 놀라운 일, 놀라움, 기습, 놀라게 하다"
height,"높이, 키, 높음, 신장, 고도, 최고조, 절정"
crisis,"위기, 최악의 고비"
reform,"개혁하다, 개선하다, 개심을 하다, 교화되다, 개혁, 개선"
insurance,"보험, 보험금, 보험료, 보호 수단"
enjoy,"즐기다, 즐거운 시간을 보내다, 누리다, 향유하다"
noise,"소음, 잡음, 시끄러움"
glad,"기쁜, 반가운, 고마운, 기꺼이 ~하려는"
garden,"뜰, 정원, 공원, 정원 가꾸기를 하다"
circle,"원형, 동그라미, 원, ~계(사회), 빙빙돌다, 동그라미를 그리다"
link,"관련성, 관계, 연결, 연결하다, 관련되다"
pair,"쌍, 짝, 두 사람, 2인조, 짝을 짓다, 부부가 되다"
consuquence,"결과, 중요함"
appeal,"호소, 간청, 매력, 항소, 상고, 항소하다, 매력적이다"
participation,"참가, 참여"
depth,"깊이, 심도, 가장 깊은 부분, 농도"
absolute,"절대적인, 완전한, 완벽한, 확실한, 확고한, 절대적인 것"
decide,"결정하다, 판결을 내리다, 결심하게 되다"
survey,"조사, 측량, 조망, 살피다, 조망하다, 측량하다, 조사하다"
mention,"말하다, 언급하다, 거론하다, 언급, 거론"
injury,"부상, 손상, 상처, 피해"
column,"기둥, 원주, 세로단, 세로줄, 정기 기고란"
select,"선택하다, 엄선된, 고급의"
weather,"날씨, 기상, 일기예보, 햇빛에 변하다, 무사히 헤쳐 나가다"
extreme,"극도의, 극심한, 지나친, 심각한, 극단, 극단적인, 극도"
debate,"토론, 토의, 논의, 논쟁, 논란, 논의하다, 숙고하다"
academic,"학업의, 학교의, 학문의, 학구적인, 탁상공론의, 교수"
contrary,"다른, 반대되는, 정반대되는"
doctrine,"교리, 신조, 정책, 주의, 원칙, 독트린"
fashion,"패션 의류업, 유행하는 방식, 유행만들다"
raise,"들어 올리다, 일으켜 세우다, 인상하다, 모으다, 사육하다"
union,"조합, 협회, 연방, 연합, 통합, 결합"
nice,"좋은, 즐거운, 멋진, 친절한, 다정한"
wonderful,"아주 멋진, 신나는, 훌륭한, 경이로운, 불가사의한"
host,"주인, 주최측, 진행자, 숙주, 주최하다, 진행하다"
bright,"밝은, 눈부신, 선명한, 발랄한, 생기 있는, 똑똑한, 희망적인"
alive,"살아 있는, 넘치는, 존속하는, 가득한, 의식하는, 알고 있는"
net,"그물, 망, 망사, 순이익을 올리다, 그물로 잡다"
minimum,"최저의, 최소한의, 최소한도, 최저, 극히 적은 양"
taste,"맛, 미각, 시식, 경험, 기호, 취향, ~ 맛이 나다, 경험하다"
ball,"공, 덩이, 뭉치, 동그랗게 만들다"
entry,"들어감, 입장, 등장, 출입, 가입, 참가, 출전, 출품"
mountain,"산, 산더미"
sale,"판매, 매출, 영업, 경매, 공매"
adult,"성인, 어른, 다 자란, 어른다운, 성숙한, 성인용의"
yellow,"노란색, 노랑, 노란색의, 노랗게 되다, 노래지다"
debt,"빚, 부채, 빚을 진 상태, 은혜를 입음, 신세를 짐"
partner,"동반자, 애인, 동업자, 동맹국, 협력 단체, 파트너가 되다"
brown,"갈색, 갈색인, 밤색, 갈색이 되다"
crowd,"사람들, 군중, 무리, 일반, 대중, 가득 메우다, 밀려오다"
department,"부서, 부처, 학과"
bone,"뼈, 골격, 유골, 뼈를 바르다"
rural,"사골의, 지방의"
chemical,"화학의, 화학적인"
twice,"두 번, 두 배로"
visual,"시각의, 보는, 시각 자료"
stream,"개울, 줄(흐름), 연속, 줄줄 흐르다"
wisdom,"지혜, 슬기, 현명한, 타당성, 지식, 지혜"
association,"협회, 연계, 유대, 제휴, 연관, 연상, 연관성"
equation,"방정식, 등식, 동일시, 상황"
track,"길, 발자국, 자국, 선로, 추적하다"
screen,"화면, 영화, 칸막이, 차폐물, 차단하다, 검진하다"
click,"찰칵하는 소리를 내다, 클릭하다, 손발이 잘 맞다, 찰칵"
device,"장치, 기구, 폭발물, 폭탄, 방책, 계책"
parallel,"평행한, 병행하는, 아주 유사한 사람, 병행하다"
mark,"표시하다, 흔적을 내다, 기념하다, 체점하다, 자국, 표시"
teach,"가르치다, 가르쳐주다, 깨닫게 하다, 알려주다"
threat,"협박, 위협, 위협적인 존재, 우려"
purchase,"구입, 구매, 매입, 구입하다"
sorry,"미안한, 안쓰러운, 애석한, 유감스러운, 후회하는, 딱한, 비참한"
aside,"한쪽으로, 비켜, 따로, ~외에는, 방백, 여담"
proportion,"부분, 비율, 균형, 비례"
ring,"반지, 고리, 종소리, 벨이 울리다, 전화를 걸다, 둘러싸다"
proof,"증거, 증명, 입증, 교성좨, 견딜 수 있는, 방수 처리를 하다"
rain,"비, 빗물, 비가 오다, 쏟아지다"
substance,"물질, 실체, 본질, 핵심, 요지, 중요성"
possession,"소유, 소지, 보유, 소유물, 소지품"
flat,"평평한, 고른, 반반한, 납작한, 김빠진, 반음 낮은, 내림음"
fruit,"과일, 열매, 산물, 열매를 맺다"
gift,"선물, 기증품, 재능, 재주"
discourse,"담론, 담화"
map,"지도, 약도, 지도를 만들다, 발견하다, 보여주다"
sudden,"갑작스러운, 급작스러운"
rapid,"빠른, 급속한, 금격한, 신속한, 가파른"
library,"도서관, 서재, 총서, 장서들"
sick,"아픈, 병든, 넌더리 나는, 멀미가 나는"
farm,"농장, 농원, 농가, 사육장, 농사를 짓다, 기르다"
load,"짐, 무게, 하중, 작업량, 부담, 싣다, 장전하다"
evolution,"진화, 발전, 진전"
hurt,"다치게 하다, 아프다, 감정이 상하다, 피해를 보다, 다친, 상처"
parent,"부모, 부모가 되는 것"
outcome,"결과, 성과"
defense,"방어, 방위, 수비, 방어 시설, 변명, 변호, 문답 시험"
approximate,"거의 정확한, 근사치인, 비슷하다"
listen,"듣다, 귀 기울이다, 경청하다, 듣기, 경청"
scheme,"계획, 제도, 책략, 책략을 꾸미다, 획책하다"
category,"범주, 분류"
rare,"드문, 희귀한, 진귀한"
prison,"교도소, 감옥, 수용소"
extra,"추가의, 여분의, 단역배우, 추가로, 각별히, 특별히"
reflect,"비추다, 반사하다, 나타내다, 심사숙고하다"
radio,"라디오, 무선, 무선 통신 장치, 무선을 보내다"
trip,"여행, 이동, 발을 헛디딤, 작동시키다"
composition,"구성 요소들, 작품, 작곡, 작문, 구도"
superior,"우수한, 뛰어난, 거만한, 상관의, 상급의, 윗사람, 선배, 상급자"
gun,"총, 대포, 총 모양의 기구, 고속으로 돌아가다"
guess,"추측하다, 알아맞히다, 추측, 짐작"
aim,"목적, 목표, 겨냥, 조준, 목표하다, 겨누다, 겨냥하다"
committee,위원회
democracy,"민주주의, 민주국가, 평등, 민주적인 대우"
fail,"실패하다, 떨어지다, 불합격시키다, 고장나다, 낙제, 불합격"
define,"정의하다, 규정하다, 분명히 밝히다"
transition,"다른 상태나 조건으로의 이행, 과도"
sharp,"날카로운, 급격한, 선명한, 뚜렷한, 반음 높은 음, 뾰족한 것"
nuclear,"원자력의, 핵의"
grace,"우아한, 품위, 은총, 감사기도, 꾸미다, 빛내다"
ear,"귀, 청각, 이삭"
conscious,"의식하는, 자각하는, 의도적인, 특별한 관심이 있는"
fat,"뚱뚱한, 살찐, 비만의, 두툼한, 넓은, 지방, 비계, 기름"
waste,"낭비하다, 헛되이 주다, 낭비, 쓰레기, 불모지, 폐허의"
investigation,"수사, 조사, 연구"
intervention,"사이에 듦, 게재, 조정, 중재, 개입, 내정 간섭"
quantity,"양, 수량, 분량, 다량, 다수"
dance,"춤, 무용, 댄스, 춤을 추다"
chest,"가슴, 흉부, 궤"
resource,"자원, 재원, 재료, 지략, 기략, 자원을 제공하다"
permanent,"영구적인, 불변의, 상설의, 종신의"
hall,"복도, 홀, 현관"
thank,"감사하다, 고마워하다, 감사를 표하다"
instrument,"악기, 기구, 도구 ,수단"
instruction,"설명, 지시, 명령, 가르침, 지도, 설명하는"
vote,"투표, 표, 의결, 의사표시를 하다, 투표하다, 선출하다"
argue,"언쟁을 하다, 다투다, 주장하다, 입증하다"
university,대학교
slave,"노예, 종속 장치, 노예처럼 일하다"
abuse,"남용, 오용, 학대, 욕설, 남용하다, 학대하다, 욕을 하다"
snow,"눈, 눈이 오다, 혹하게 하다"
root,"뿌리, 근원, 기원, 뿌리를 내리다, 파헤치다"
afterward,"그 후에, 나중에"
wise,"지혜로운, 현명한, 슬기로운"
virtue,"선, 선행, 미덕, 덕목, 장점"
milk,"우유, 우유를 짜다, 뽑아내다"
fill,"채우다, 충족시키다, 때우다, 가득차게 하다, 실컷"
edition,"판, 호, 회, 1회분"
index,"색인, 지수, 지표, 색인을 만들다, 물가와 연동시키다"
catch,"잡다, 받다, 붙잡다, 걸리다, 이해하다, 잡기, 걸쇠"
win,"이기다, 따라, 차지하다, 얻다, 승리"
equivalent,"동등한, 맞먹는, 상당하는, 등가의, 대응하는 것, 등가물"
card,"카드, 결정적인 수단, 명함"
hence,"이런 이유로, 그로므로, 앞으로"
tea,"차, 홍차, 찻잎"
thereby,"그렇게 함으로써, 그것 때문에"
cognitive,"인식의, 인지의"
coast,"해안, 연안, 해변, 관성으로 움직이다, 수원하게 해내다"
angle,"각도, 각, 기울기, 각도, 관점"
remove,"제거하다, 없애다, 치우다, 벗다, 해고하다"
expose,"드러내다, 폭로하다, 노출시키다"
favor,"호의, 친절, 은혜, 부탁, 평판, 유행, 호의를 보이다, 찬성하다"
plate,"접시, 그릇, 요리, 번호판, 도금한 금속, 도금하다"
transport,"수송, 차량 이동, 운송, 운송업, 수송하다, 귀양보내다"
count,"세다, 계산하다, 중요하다, 인정되다, 계산, 기소 조항, 죄목"
western,"서쪽에 위치한, 서부의, 서양의"
preserve,"지키다, 보호하다, 보존하다, 저장하다, 전유물, 잼"
muscle,"근육, 힘, 근력, 압력"
tall,"키가 큰, 높은, 높이가 ~인, 많은, 엄청난"
welfare,"개인 및 단체의 안녕, 복지, 후생"
legislation,"제정법, 법률의 제정, 입법 행위"
minister,"장관, 각료, 성직자, 목사"
channel,"채널, 주파수대, 경로, 수로, 쏟다, 보내다"
era,"시대, 대"
bridge,"다리, 가교, 교량, 다리를 놓다"
witness,"목격자, 증인, 목격하다, 증명하다"
experiment,"실험, 시도, 시험, 실험을 하다, 시험삼아 해보다"
print,"인쇄하다, 찍다, 새기다, 활자, 출판, 판화"
guard,"감시, 경호, 경비 요원, 보초, 방어 자세, 지키다, 보호하다"
button,"단추, 버튼, 단추를 잠그다"
terrible,"끔찍한, 소름끼치는, 심한, 지독한, 형편없는"
flight,"비행, 항공편, 계단, 탈출, 도피, 비행편대"
treat,"다루다, 대우하다, 치료하다, 처치하다, 대접하다, 한턱내다"
logic,"논리, 타당성, 논리화"
sake,"동기, 이익, 목적, 원인, 이유"
quarter,"4분의 1, 15분, 사분기, 막사, 4등분하다, 숙소를 제공하다"
van,"화물차, 밴, 승합차, 화물칸"
perception,"지각, 자각, 통찰력, 인식"
scope,"기회, 범위, 샅샅히 살피다"
spite,"앙심, 악의, 괴롭히다, in spite of (~에도 불구하고)"
institution,"기관, 단체, 협회, 보호 시설, 제도, 시행"
shop,"가게, 상점, 사다, 쇼핑하다"
honor,"명예, 영예, 면목, 체면, 경의, 존경, 공경하다, 예우하다"
intention,"의도, 목적, 의향, 마음가짐"
poem,시(時)
publication,"출판, 발행, 발표(공개)"
curve,"곡선, 만곡, 커브, 곡선으로 나아가다"
liberty,"자유, 허가, 멋대로 함, 지나친 자유"
angry,"화난, 성낭, 분개한"
stable,"안정된, 안정적인, 차분한, 안정된"
respond,"응답하다, 대답하다, 답장을 보내다, 대응하다, 차도를 보이다"
dynamic,"역학, 동역학, 원동력"
suit,"정장, ~옷, 편리하다, 어울리다"
territory,"영토, 지역, 영역, 구역"
bill,"고지서, 청구서, 계산서, 법안, 부리, 청구서를 보내다"
bread,"빵, 식빵, 주식물"
wear,"입고있다, 닳다, 낡다, 해어지다, 옷, 착용, 입기, 닮음, 마모"
skill,"기술, 실력, 솜씨, 기능, 기량"
pick,"고르다, 선택하다, 뽑다, 꺾다, 따다, 고르기"
translation,"번역, 통역, 옮김, 변형"
regulation,"규정, 통제, 단속, 규정된"
comfort,"안락, 편안, 위로, 위안, 편의 시설, 위로하다, 달래다"
match,"성냥, 시합, 맞수, 어울리다, 일치하다, 연결시키다"
efficient,"능률적인, 유능한, 효율적인"
border,"국경, 경계, 접하다, 가장자리를 이루다"
promote,"촉진하다, 고취하다, 홍보하다, 승진시키다"
worship,"예배, 숭배, 흠모, 열렬한 사람, 숭배하다, 흠모하다"
shut,"닫다, 차단하다, 감다, 폐쇄하다, 다물다, 닫힌, 덮인, 감긴"
holy,"신성한, 경건한, 독실한"
busy,"바쁜, 분주한, 붐비는, 열심인, 통화 중인, 바쁘다, ~에 매달리다"
atmosphere,"대기, 공기, 분위기, 기운"
passion,"열정, 열망, 울화, 성화, 격정, 욕정"
breast,"유방, 가슴, 마음, 오르다, 가슴으로 밀다"
handle,"다루다, 처리하다, 만지다, 취급하다, 손잡이"
sacred,"성스러운, 종교적인, 신성시되는"
regime,"정권, 제도, 체재"
cup,"컵, 잔, 두 손을 동그랗게 모아 쥐다"
manage,"운영하다, 감독하다, 관리하다, 해내다, 다루다"
hell,"지옥, 지옥 같은 곳"
glory,"영광, 영예, 찬란한 아름다움, 장관, 자랑스러운 것, 찬양"
yield,"산출하다, 항복하다, 양도하다, 산출량, 총수익"
liquid,"액체, 액상의, 현금화하기 쉬운, 유동적인, 청아한"
reply,"대답하다, 답장을 보내다, 대응하다, 대답, 대응"
fun,"재미, 장난, 재미있는, 즐거운"
climate,"기후, 분위기, 풍자"
eletronic,"전자의, 전자 활동에 의한, 전자 장비와 관련된"
grass,"잔디, 풀, 목초"
tongue,"혀, 혓바닥, 언어, 말씨, 말버릇, 혀를 대다"
medicine,"의학, 의술, 의료, 약, 약물"
murder,"살인, 살해, 살해하다, 망치다"
enable,"~을 할 수 있게 하다, 가능하게 하다"
pride,"자랑스러움, 자부심, 긍지, 자존심, 자랑거리, 자만심, 우월감"
cool,"시원한, 서늘한, 차분한, 침착한, 냉담한, 멋진, 식히다"
flesh,"살, 고기, 피부, 과육, 육체"
violent,"폭력적인, 난폭한, 격렬한, 맹렬한, 극심한, 지독한, 끔찍한"
sugar,"설탕, 당분, 당, 설탕을 넣다"
steel,"강철, 강, 철강업, 총칼, 무기, 무력"
minor,"작은, 가벼운, 단조의, 단음계의"
grave,"무덤, 묘, 산소, 죽음, 사망, 심각한, 중대한"
concrete,"콘크리트로 된, 사실에 의거한, 구체적인, 실체가 있는"
victory,"승리, 성공"
traffic,"차량들, 교통, 운항, 수송, 통신, 밀거래"
versus,"~대, ~에 비해, ~와 대조적으로"
item,"항목, 사항, 물품, 재료"
route,"길, 경로, 노선, 보내다, 전송하다"
salt,"소금, 염, 소금을 치다, 염장하다, 소금에 절인"
